id,name,cuisine,category,instructions,ingredients,image_url,tags
np001,Dal Bhat,Nepali,Main Course,"For Dal (Lentil Soup):,1. Wash yellow lentils thoroughly,2. In a pot, cook lentils with water, turmeric, and salt until soft,3. Heat oil in a pan, add cumin seeds, garlic, and onion,4. Add tomatoes and cook until soft,5. Add the tempering to the cooked lentils,For Bhat (Rice):,1. Wash rice until water runs clear,2. Add rice and water in 1:2 ratio,3. Cook until rice is tender and fluffy","1 cup Yellow Lentils,2 cups Rice,2 cloves Garlic,1 medium Onion,1 medium Tomato,1 tsp Cumin seeds,1/2 tsp Turmeric powder,2 tbsp Oil,Salt to taste",/src/assets/recipes/np001.jpeg,"Vegetarian,Traditional,Healthy"
np002,Momo,Nepali,Chicken,"For the filling:,1. Mince chicken, onions, and garlic finely,2. Mix with spices and seasonings,For the wrapper:,1. Make a firm dough with flour and water,2. Roll into small circles,Assembly:,1. Place filling in the center of each wrapper,2. Fold and pleat to form dumplings,3. Steam for 15-20 minutes,For the sauce:,1. Blend tomatoes, chilies, and garlic,2. Season with salt and spices","500g Ground chicken,2 cups All-purpose flour,2 Onions,4 cloves Garlic,1 inch Ginger,1 bunch Cilantro,2 Green chilies,Salt to taste,1 tsp Black pepper,Water as needed",/src/assets/recipes/np002.jpg,"Dumpling,Popular,Street Food"
np003,Sel Roti,Nepali,Breakfast,"1. Soak rice for 4-5 hours, then drain,2. Grind rice to make a smooth batter,3. Add sugar, cardamom, and butter,4. Heat oil in a deep pan,5. Pour batter in a circular motion to form rings,6. Fry until golden brown on both sides","2 cups Rice,1/2 cup Sugar,2 tbsp Butter,4 Cardamom pods,Oil for deep frying,Pinch of salt",/src/assets/recipes/np003.jpeg,"Sweet,Festival Food,Traditional"
np004,Thukpa,Nepali,Main Course,"1. Prepare the noodles according to package instructions,2. Heat oil in a large pot, add garlic and ginger,3. Add chopped onions and cook until translucent,4. Add vegetables (carrots, cabbage, green onions),5. Add chicken or vegetables and stir-fry,6. Pour in chicken broth and bring to boil,7. Season with salt, pepper, and Nepali spices,8. Add cooked noodles and simmer for 2-3 minutes,9. Garnish with fresh cilantro and green onions","200g Noodles,2 cups Mixed Vegetables,200g Chicken (optional),2 cloves Garlic,1 inch Ginger,1 Onion,4 cups Chicken Broth,2 tbsp Oil,Salt to taste,Black pepper,Fresh cilantro,Green onions",/src/assets/recipes/np004.jpg,"Soup,Noodles,Winter Food"
np005,Dhido,Nepali,Main Course,"1. Boil water in a thick-bottomed pot,2. Gradually add buckwheat or cornmeal flour while stirring,3. Keep stirring continuously to avoid lumps,4. Cook for about 15-20 minutes, stirring constantly,5. Continue cooking until the mixture becomes very thick,6. Stir vigorously until it pulls away from the sides of the pot,7. Shape into a dome and serve hot with curry or vegetables","2 cups Buckwheat flour or Cornmeal,4 cups Water,1 tsp Salt,Ghee for serving",/src/assets/recipes/np005.jpg,"Traditional,Staple Food,Gluten-free"
np006,Chatamari,Nepali,Snack,"1. Make a thin batter with rice flour, water, and salt,2. Heat oil on a flat pan,3. Pour the batter to make a thin crepe,4. Add minced meat or vegetables on top,5. Crack an egg in the center (optional),6. Add spices and seasonings,7. Fold the edges to form a square,8. Cook until crispy on both sides","1 cup Rice flour,Water as needed,200g Minced meat or vegetables,2 Eggs,1 Onion,2 cloves Garlic,1 inch Ginger,Green chilies to taste,Salt and pepper,Oil for cooking",/src/assets/recipes/np006.jpg,"Street Food,Snack,Newari"
np007,Yomari,Nepali,Dessert,"1. Make dough with rice flour and hot water,2. Prepare sweet filling with chaku (molasses) and sesame seeds,3. Shape the dough into cones,4. Fill with the sweet mixture,5. Close the top carefully,6. Shape into traditional fish-tail design,7. Steam for 15-20 minutes,8. Serve warm","2 cups Rice flour,Hot water as needed,200g Chaku (molasses),100g Sesame seeds,Pinch of salt",/src/assets/recipes/np007.jpg,"Dessert,Festival Food,Newari"
np008,Gundruk,Nepali,Side Dish,"For Fermentation:,1. Clean and wilt leafy greens,2. Pack tightly in a container,3. Let ferment for 7-10 days,For Cooking:,1. Heat oil in a pan,2. Add cumin seeds and dried red chilies,3. Add fermented gundruk,4. Sauté until crispy,5. Season with salt and spices","2 cups Fermented leafy greens,2 tbsp Oil,1 tsp Cumin seeds,2-3 Dried red chilies,Salt to taste,1 pinch Turmeric",/src/assets/recipes/np008.jpg,"Fermented,Traditional,Side Dish"
np009,Jhol Momo,Nepali,Main Course,"For the Momo:,1. Make regular momo (follow momo recipe above),2. Steam the momos until cooked,For the Jhol (Soup):,1. Heat oil in a pan, add ginger-garlic paste,2. Add tomatoes and cook until soft,3. Add spices: cumin, coriander, turmeric, red chili powder,4. Pour in chicken or vegetable broth,5. Add soy sauce and vinegar for tanginess,6. Simmer for 10 minutes,7. Place steamed momos in bowls,8. Pour hot jhol over momos,9. Garnish with cilantro and green onions","10-12 Steamed Momos,2 Tomatoes,1 tbsp Ginger-garlic paste,2 tbsp Oil,1 tsp Cumin powder,1 tsp Coriander powder,1/2 tsp Turmeric,1 tsp Red chili powder,3 cups Chicken broth,1 tbsp Soy sauce,1 tbsp Vinegar,Fresh cilantro,Green onions",/src/assets/recipes/np009.jpg,"Soup,Dumpling,Comfort Food"
np010,Chiura (Beaten Rice),Nepali,Breakfast,"1. Soak beaten rice in water for 2-3 minutes,2. Drain and wash until water runs clear,3. Add salt and mix gently,4. Heat oil in a pan,5. Add cumin seeds and let them splutter,6. Add green chilies and ginger,7. Add turmeric and mix,8. Add the soaked beaten rice,9. Mix gently and cook for 2-3 minutes,10. Garnish with cilantro and serve with yogurt","2 cups Beaten rice (Chiura),1 tsp Salt,2 tbsp Oil,1 tsp Cumin seeds,2 Green chilies,1 inch Ginger,1/2 tsp Turmeric,Fresh cilantro,Yogurt for serving",/src/assets/recipes/np010.jpg,"Breakfast,Quick,Traditional"
